vocab,method,k,tau,hard_success,mean_cost,rejection_rate,corrective_per_mission
19,supLP120,3,0.9,0.821,19.485,0.20680524294982125,0.173
19,supcon,3,0.9,0.871,18.443,0.2001203128133146,0.274
20,scratch,1,0.0,0.463,28.989,0.0,0.783
20,mae,1,0.0,0.527,27.518,0.0,1.306
20,supMAE,1,0.0,0.536,26.175,0.0,0.845
20,supLP120,1,0.0,0.445,29.935,0.0,1.085
20,supcon,1,0.0,0.51,27.596,0.0,0.852
20,scratch,1,0.9,0.783,21.187,0.35821404226312203,0.321
20,mae,1,0.9,0.83,22.2,0.30660183937672075,0.643
20,supMAE,1,0.9,0.8,21.654,0.2830826840611222,0.399
20,supLP120,1,0.9,0.699,23.741,0.2392520987026202,0.359
20,supcon,1,0.9,0.778,21.313,0.21348610562360068,0.449
20,scratch,3,0.0,0.467,28.079,0.0,0.453
20,mae,3,0.0,0.672,21.561,0.0,0.607
20,supMAE,3,0.0,0.685,20.557,0.0,0.399
20,supLP120,3,0.0,0.63,22.462,0.0,0.534
20,supcon,3,0.0,0.697,20.264,0.0,0.448
20,scratch,3,0.9,0.736,22.493,0.3022246014751368,0.167
20,mae,3,0.9,0.919,19.014,0.33231952255250774,0.296
20,supMAE,3,0.9,0.811,20.058,0.2547578669681553,0.159
20,supLP120,3,0.9,0.927,16.93,0.19280032358096266,0.212
20,supcon,3,0.9,0.959,15.846,0.1602492299075889,0.254
21,scratch,1,0.0,0.395,34.013,0.0,1.431
21,mae,1,0.0,0.329,37.657,0.0,1.819
21,supMAE,1,0.0,0.328,36.238,0.0,1.486
21,supLP120,1,0.0,0.26,38.75,0.0,1.37
21,supcon,1,0.0,0.333,35.773,0.0,1.331
21,scratch,1,0.9,0.672,26.225,0.2803286611889802,0.771
21,mae,1,0.9,0.658,27.14,0.3705519444750468,1.062
21,supMAE,1,0.9,0.53,30.398,0.29704142011834317,0.806
21,supLP120,1,0.9,0.593,27.024,0.2701939602258777,0.504
21,supcon,1,0.9,0.666,25.208,0.25379977389775155,0.622
21,scratch,3,0.0,0.571,24.975,0.0,0.705
21,mae,3,0.0,0.502,27.003,0.0,0.921
21,supMAE,3,0.0,0.683,21.41,0.0,0.73
21,supLP120,3,0.0,0.625,22.406,0.0,0.582
21,supcon,3,0.0,0.698,20.707,0.0,0.649
21,scratch,3,0.9,0.871,19.902,0.27728953269895146,0.361
21,mae,3,0.9,0.759,23.629,0.3819781391628899,0.478
21,supMAE,3,0.9,0.909,19.038,0.2671826054910632,0.379
21,supLP120,3,0.9,0.835,18.736,0.2064302287040106,0.157
21,supcon,3,0.9,0.876,17.454,0.1715252832274109,0.186
22,scratch,1,0.0,0.768,21.917,0.0,1.619
22,mae,1,0.0,0.733,22.793,0.0,1.711
22,supMAE,1,0.0,0.842,19.934,0.0,1.558
22,supLP120,1,0.0,0.821,21.363,0.0,1.821
22,supcon,1,0.0,0.872,19.428,0.0,1.576
22,scratch,1,0.9,0.816,22.3,0.28398700673724736,0.692
22,mae,1,0.9,0.904,20.596,0.28924141221374045,0.696
22,supMAE,1,0.9,0.867,20.592,0.2724171539961014,0.512
22,supLP120,1,0.9,0.888,20.303,0.23635784781916588,0.746
